timestamp,type_id,best_buy,best_sell
2026-09-26T00:00:29.736Z,60301,1043000,1132000
2026-09-26T00:00:29.736Z,37,141.4,156.7
2026-09-26T00:00:29.736Z,92384,205500000,382900000
2026-09-26T00:00:29.736Z,47894,1722000,1924000
2026-09-26T00:00:29.736Z,14298,1092000,3324000
2026-09-26T00:00:29.736Z,27405,800.7,997
2026-09-26T00:00:29.736Z,62456,2251,2428
2026-09-26T00:00:29.736Z,47975,44870,47400
2026-09-26T00:00:29.736Z,47890,9103000,9900000
2026-09-26T00:00:29.736Z,35,16.5,17.31
2026-09-26T00:00:29.736Z,47821,12950,99500
2026-09-26T00:00:29.736Z,25591,61110,63680
2026-09-26T00:00:29.736Z,55620,1,998
2026-09-26T00:00:29.736Z,34483,81660000,93940000
2026-09-26T00:00:29.736Z,2679,79.2,88.73
2026-09-26T00:00:29.736Z,33842,88970000,97040000
2026-09-26T00:00:29.736Z,53705,129100000,144500000
2026-09-26T00:00:29.736Z,33539,386400,448200
2026-09-26T00:00:29.736Z,34294,21110000,23100000
2026-09-26T00:00:29.736Z,62403,5870,6231
2026-09-26T00:00:29.736Z,62402,8300,8963
2026-09-26T00:00:29.736Z,20172,42280,69750
2026-09-26T00:00:29.736Z,16499,350100,407800
2026-09-26T00:00:29.736Z,59327,672200000,899600000
2026-09-26T00:00:29.736Z,15729,44840000,48500000
2026-09-26T00:00:29.736Z,14059,1976000,3484000
2026-09-26T00:00:29.736Z,57451,16690000,18020000
2026-09-26T00:00:29.736Z,47255,9533,30850
2026-09-26T00:00:29.736Z,47899,8722000,8725000
2026-09-26T00:00:29.736Z,23527,319500,371100
2026-09-26T00:00:29.736Z,34205,280500,299500
2026-09-26T00:00:29.736Z,35656,12620,18170
2026-09-26T00:00:29.736Z,2464,4392,5718
2026-09-26T00:00:29.736Z,41220,54460000,59620000
2026-09-26T00:00:29.736Z,25604,20930,24470
2026-09-26T00:00:29.736Z,2488,287100,318900
2026-09-26T00:00:29.736Z,15632,7882000,9198000
2026-09-26T00:00:29.736Z,47922,48230000,55300000
2026-09-26T00:00:29.736Z,29990,218900000,226800000
2026-09-26T00:00:29.736Z,47915,38210000,44470000
2026-09-26T00:00:29.736Z,5405,13010,19960
