timestamp,type_id,best_buy,best_sell
2026-09-14T00:48:03.000Z,11855,0.02,
2026-09-14T00:48:03.000Z,22881,0.01,4694000
2026-09-14T00:48:03.000Z,22937,15070000,38930000
2026-09-14T00:48:03.000Z,62567,3414,3854
2026-09-14T00:48:03.000Z,263,70.18,207.8
2026-09-14T00:48:03.000Z,62576,9038,11990
2026-09-14T00:48:03.000Z,62544,850,1057
2026-09-14T00:48:03.000Z,62563,5943,6400
2026-09-14T00:48:03.000Z,82315,800,1138
2026-09-14T00:48:03.000Z,62587,20880,25000
2026-09-14T00:48:03.000Z,62566,3251,5990
2026-09-14T00:48:03.000Z,62578,12010,18990
2026-09-14T00:48:03.000Z,41267,98030,124300
2026-09-14T00:48:03.000Z,15614,137900,188700
2026-09-14T00:48:03.000Z,2476,40810,59980
2026-09-14T00:48:03.000Z,27427,273.2,584
2026-09-14T00:48:03.000Z,27433,367,1133
2026-09-14T00:48:03.000Z,28699,91100,95370
2026-09-14T00:48:03.000Z,2286,4.11,4.94
2026-09-14T00:48:03.000Z,2193,60040,68030
2026-09-14T00:48:03.000Z,27383,121,247
2026-09-14T00:48:03.000Z,62575,30010,53990
2026-09-14T00:48:03.000Z,27417,351,674.9
2026-09-14T00:48:03.000Z,27451,335,644
2026-09-14T00:48:03.000Z,35659,12870,15990
2026-09-14T00:48:03.000Z,82306,592.3,832.6
2026-09-14T00:48:03.000Z,2310,2.05,2.4
2026-09-14T01:48:03.178Z,11855,0.02,
2026-09-14T01:48:03.178Z,22881,0.01,4694000
2026-09-14T01:48:03.178Z,22937,15070000,38930000
2026-09-14T01:48:03.178Z,62567,3414,3854
2026-09-14T01:48:03.178Z,263,70.18,207.2
2026-09-14T01:48:03.178Z,62576,9038,11990
2026-09-14T01:48:03.178Z,62544,850,1057
2026-09-14T01:48:03.178Z,62563,5943,6400
2026-09-14T01:48:03.178Z,82315,800,1138
2026-09-14T01:48:03.178Z,62587,20880,25000
2026-09-14T01:48:03.178Z,62566,3251,5990
2026-09-14T01:48:03.178Z,41267,98040,124300
2026-09-14T01:48:03.178Z,15614,137900,188700
2026-09-14T01:48:03.178Z,2476,40800,59960
2026-09-14T01:48:03.178Z,27433,367,999
2026-09-14T01:48:03.178Z,28699,91100,95370
2026-09-14T01:48:03.178Z,2286,4.11,4.94
2026-09-14T01:48:03.178Z,2193,60040,68030
2026-09-14T01:48:03.178Z,27383,121,248
2026-09-14T01:48:03.178Z,62575,30010,53990
2026-09-14T01:48:03.178Z,27417,351,674.8
2026-09-14T01:48:03.178Z,27451,335,644
2026-09-14T01:48:03.178Z,35659,12870,15990
2026-09-14T01:48:03.178Z,82306,592.3,832.6
2026-09-14T01:48:03.178Z,2310,2.05,2.4
2026-09-14T01:48:03.178Z,62581,6502,11350
2026-09-14T01:48:03.178Z,62578,12010,18990
2026-09-14T01:48:03.178Z,27427,273.2,585.7
2026-09-14T02:48:02.955Z,11855,0.02,
2026-09-14T02:48:02.955Z,22881,0.01,4694000
2026-09-14T02:48:02.955Z,22937,15070000,38930000
2026-09-14T02:48:02.955Z,62567,3414,3854
2026-09-14T02:48:02.955Z,263,70.18,207.1
2026-09-14T02:48:02.955Z,62576,9038,11990
2026-09-14T02:48:02.955Z,62544,850,1057
2026-09-14T02:48:02.955Z,62563,5943,6400
2026-09-14T02:48:02.955Z,82315,800,1138
2026-09-14T02:48:02.955Z,62587,20880,25000
2026-09-14T02:48:02.955Z,62566,3251,5990
2026-09-14T02:48:02.955Z,41267,98040,124000
2026-09-14T02:48:02.955Z,15614,137900,189900
2026-09-14T02:48:02.955Z,2476,40800,50000
2026-09-14T02:48:02.955Z,27433,367,999
2026-09-14T02:48:02.955Z,28699,91100,95370
2026-09-14T02:48:02.955Z,2286,3.01,4.93
2026-09-14T02:48:02.955Z,2193,60040,68030
2026-09-14T02:48:02.955Z,27383,121,248
2026-09-14T02:48:02.955Z,62575,30010,53990
2026-09-14T02:48:02.955Z,27417,351,674.8
2026-09-14T02:48:02.955Z,27451,335,644
2026-09-14T02:48:02.955Z,35659,12870,15990
2026-09-14T02:48:02.955Z,82306,592.3,832.6
2026-09-14T02:48:02.955Z,2310,2.03,2.4
2026-09-14T02:48:02.955Z,62581,6502,11350
2026-09-14T02:48:02.955Z,62578,12010,18990
2026-09-14T02:48:02.955Z,27427,273.2,585.7
2026-09-14T03:48:02.850Z,11855,0.02,
2026-09-14T03:48:02.850Z,22881,0.01,4694000
2026-09-14T03:48:02.850Z,22937,15070000,38930000
2026-09-14T03:48:02.850Z,62567,3414,3854
2026-09-14T03:48:02.850Z,263,70.18,207.1
2026-09-14T03:48:02.850Z,62576,9038,11990
2026-09-14T03:48:02.850Z,62544,850,1057
